Signal ID,Phase #,Detector Type,Date,Time (hour mark),Approximate Total Gaps Available,1-3.3 (red) # of total gaps,3.3-3.7 (lime green) # of total gaps,3.7-7.4 (forest green) # of total gaps,> 7.4 sec (turquoise) # of total gaps,Percent of Green Time with safe gaps (blue line)
7,2,Lane-By-Lane Count,2025-10-13,0,39.4,0.0,0.0,0.0,39.4,99.9
7,2,Lane-By-Lane Count,2025-10-13,1,43.5,0.0,0.0,0.0,43.5,99.9
7,2,Lane-By-Lane Count,2025-10-13,2,43.1,0.0,0.0,0.0,43.1,99.8
7,2,Lane-By-Lane Count,2025-10-13,3,46.5,0.0,0.0,0.0,46.5,99.9
7,2,Lane-By-Lane Count,2025-10-13,4,41.6,0.0,0.0,0.0,41.6,99.9
7,2,Lane-By-Lane Count,2025-10-13,5,35.4,0.0,0.0,0.0,35.4,99.9
7,2,Lane-By-Lane Count,2025-10-13,6,36.6,0.0,0.0,0.0,36.6,99.9
7,2,Lane-By-Lane Count,2025-10-13,7,29.3,0.0,0.0,0.0,29.3,99.9
7,2,Lane-By-Lane Count,2025-10-13,8,27.8,0.0,0.0,0.0,27.8,99.9
7,2,Lane-By-Lane Count,2025-10-13,9,37.5,0.0,0.0,0.0,37.5,99.9
7,2,Lane-By-Lane Count,2025-10-13,10,34.3,0.0,0.0,0.0,34.3,99.9
7,2,Lane-By-Lane Count,2025-10-13,11,32.5,0.0,0.0,0.0,32.5,99.9
7,2,Lane-By-Lane Count,2025-10-13,12,37.0,0.0,0.0,0.0,37.0,99.9
7,2,Lane-By-Lane Count,2025-10-13,13,35.2,0.0,0.0,0.0,35.2,99.9
7,2,Lane-By-Lane Count,2025-10-13,14,28.6,0.0,0.0,0.0,28.6,99.8
7,2,Lane-By-Lane Count,2025-10-13,15,22.0,0.0,0.0,0.0,22.0,99.8
7,2,Lane-By-Lane Count,2025-10-13,16,19.9,0.0,0.0,0.0,19.9,99.8
7,2,Lane-By-Lane Count,2025-10-13,17,19.7,0.0,0.0,0.0,19.7,99.8
7,2,Lane-By-Lane Count,2025-10-13,18,19.9,0.0,0.0,0.0,19.9,99.8
7,2,Lane-By-Lane Count,2025-10-13,19,21.8,0.0,0.0,0.0,21.8,99.9
7,2,Lane-By-Lane Count,2025-10-13,20,25.5,0.0,0.0,0.0,25.5,99.9
7,2,Lane-By-Lane Count,2025-10-13,21,23.1,0.0,0.0,0.0,23.1,99.8
7,2,Lane-By-Lane Count,2025-10-13,22,23.1,0.0,0.0,0.0,23.1,99.9
7,2,Lane-By-Lane Count,2025-10-13,23,16.8,0.0,0.0,0.0,16.8,99.8
7,6,Lane-By-Lane Count,2025-10-13,0,12.0,0.0,0.0,0.0,12.0,99.9
7,6,Lane-By-Lane Count,2025-10-13,1,6.0,0.0,0.0,0.0,6.0,99.9
7,6,Lane-By-Lane Count,2025-10-13,2,3.0,0.0,0.0,0.0,3.0,99.9
7,6,Lane-By-Lane Count,2025-10-13,3,34.3,0.0,0.0,0.0,34.3,99.9
7,6,Lane-By-Lane Count,2025-10-13,4,13.9,0.0,0.0,0.0,13.9,99.9
7,6,Lane-By-Lane Count,2025-10-13,5,4.0,0.0,0.0,0.0,4.0,99.9
7,6,Lane-By-Lane Count,2025-10-13,6,6.6,0.0,0.0,0.0,6.6,99.8
7,6,Lane-By-Lane Count,2025-10-13,7,1.7,0.0,0.0,0.0,1.7,99.8
7,6,Lane-By-Lane Count,2025-10-13,8,2.5,0.0,0.0,0.0,2.5,99.8
7,6,Lane-By-Lane Count,2025-10-13,9,3.6,0.0,0.0,0.0,3.6,99.9
7,6,Lane-By-Lane Count,2025-10-13,10,2.2,0.0,0.0,0.0,2.2,99.8
7,6,Lane-By-Lane Count,2025-10-13,11,0.5,0.0,0.0,0.0,0.5,99.8
7,6,Lane-By-Lane Count,2025-10-13,12,4.4,0.0,0.0,0.0,4.4,99.8
7,6,Lane-By-Lane Count,2025-10-13,13,2.9,0.0,0.0,0.0,2.9,99.8
7,6,Lane-By-Lane Count,2025-10-13,14,7.2,0.0,0.0,0.0,7.2,99.8
7,6,Lane-By-Lane Count,2025-10-13,15,11.1,0.0,0.0,0.0,11.1,99.8
7,6,Lane-By-Lane Count,2025-10-13,16,6.2,0.0,0.0,0.0,6.2,99.8
7,6,Lane-By-Lane Count,2025-10-13,17,12.1,0.0,0.0,0.0,12.1,99.8
7,6,Lane-By-Lane Count,2025-10-13,18,11.8,0.0,0.0,0.0,11.8,99.8
7,6,Lane-By-Lane Count,2025-10-13,19,12.9,0.0,0.0,0.0,12.9,99.9
7,6,Lane-By-Lane Count,2025-10-13,20,5.7,0.0,0.0,0.0,5.7,99.9
7,6,Lane-By-Lane Count,2025-10-13,21,11.8,0.0,0.0,0.0,11.8,99.9
7,6,Lane-By-Lane Count,2025-10-13,22,17.6,0.0,0.0,0.0,17.6,99.8
7,6,Lane-By-Lane Count,2025-10-13,23,16.8,0.0,0.0,0.0,16.8,99.8
