Signal ID,Phase #,Date,Plan,Time of day,Programmed Split (sec),Average Split (sec)
7162,1,2025-10-13,47,0,14.48,13.71
7162,1,2025-10-13,47,1,14.48,12.24
7162,1,2025-10-13,47,2,14.48,11.07
7162,1,2025-10-13,47,3,14.48,11.81
7162,1,2025-10-13,47,4,14.48,13.92
7162,1,2025-10-13,47,5,14.48,14.55
7162,1,2025-10-13,47,6,14.48,14.71
7162,1,2025-10-13,10,7,15.00,15.66
7162,1,2025-10-13,10,8,15.00,15.03
7162,1,2025-10-13,10,9,15.06,14.85
7162,1,2025-10-13,20,10,17.08,13.73
7162,1,2025-10-13,20,11,17.08,15.82
7162,1,2025-10-13,20,12,17.08,15.87
7162,1,2025-10-13,20,13,17.08,16.10
7162,1,2025-10-13,20,14,17.08,16.12
7162,1,2025-10-13,31,15,20.00,19.81
7162,1,2025-10-13,31,16,20.00,17.14
7162,1,2025-10-13,31,17,20.00,13.25
7162,1,2025-10-13,31,18,20.00,17.42
7162,1,2025-10-13,61,19,20.00,18.32
7162,1,2025-10-13,47,20,15.52,13.77
7162,1,2025-10-13,47,21,16.04,15.46
7162,1,2025-10-13,71,22,15.00,14.62
7162,1,2025-10-13,71,23,15.00,14.25
7162,2,2025-10-13,47,0,0.55,90.32
7162,2,2025-10-13,47,1,0.55,91.34
7162,2,2025-10-13,47,2,0.55,91.52
7162,2,2025-10-13,47,3,0.55,89.75
7162,2,2025-10-13,47,4,0.55,88.94
7162,2,2025-10-13,47,5,0.55,89.25
7162,2,2025-10-13,47,6,0.55,88.70
7162,2,2025-10-13,10,7,75.45,101.05
7162,2,2025-10-13,10,8,75.45,92.38
7162,2,2025-10-13,10,9,75.27,92.73
7162,2,2025-10-13,20,10,73.45,93.20
7162,2,2025-10-13,20,11,73.45,90.54
7162,2,2025-10-13,20,12,73.45,86.27
7162,2,2025-10-13,20,13,73.09,79.39
7162,2,2025-10-13,20,14,73.09,73.18
7162,2,2025-10-13,31,15,88.55,95.53
7162,2,2025-10-13,31,16,88.55,84.24
7162,2,2025-10-13,31,17,88.55,77.68
7162,2,2025-10-13,31,18,88.55,92.67
7162,2,2025-10-13,61,19,86.55,86.19
7162,2,2025-10-13,47,20,68.18,63.96
7162,2,2025-10-13,47,21,56.00,60.40
7162,2,2025-10-13,71,22,92.91,87.69
7162,2,2025-10-13,71,23,92.91,93.88
7162,4,2025-10-13,47,0,22.73,19.18
7162,4,2025-10-13,47,1,22.73,20.08
7162,4,2025-10-13,47,2,22.73,18.65
7162,4,2025-10-13,47,3,22.73,18.12
7162,4,2025-10-13,47,4,22.73,18.52
7162,4,2025-10-13,47,5,22.73,17.99
7162,4,2025-10-13,47,6,22.73,19.42
7162,4,2025-10-13,10,7,40.00,28.47
7162,4,2025-10-13,10,8,40.00,32.33
7162,4,2025-10-13,10,9,40.00,29.70
7162,4,2025-10-13,20,10,40.00,27.82
7162,4,2025-10-13,20,11,40.00,33.51
7162,4,2025-10-13,20,12,40.00,33.18
7162,4,2025-10-13,20,13,40.00,38.11
7162,4,2025-10-13,20,14,40.00,39.70
7162,4,2025-10-13,31,15,40.00,40.04
7162,4,2025-10-13,31,16,40.00,39.97
7162,4,2025-10-13,31,17,40.00,39.92
7162,4,2025-10-13,31,18,40.00,33.21
7162,4,2025-10-13,61,19,38.31,26.75
7162,4,2025-10-13,47,20,40.00,39.71
7162,4,2025-10-13,47,21,40.00,39.69
7162,4,2025-10-13,71,22,38.31,18.50
7162,4,2025-10-13,71,23,14.16,15.01
7162,5,2025-10-13,47,0,20.65,11.14
7162,5,2025-10-13,47,1,20.65,12.53
7162,5,2025-10-13,47,2,20.65,12.05
7162,5,2025-10-13,47,3,20.65,14.52
7162,5,2025-10-13,47,4,20.65,14.07
7162,5,2025-10-13,47,5,20.65,14.50
7162,5,2025-10-13,47,6,20.65,13.25
7162,5,2025-10-13,10,7,21.69,18.40
7162,5,2025-10-13,10,8,21.69,17.47
7162,5,2025-10-13,10,9,21.69,19.40
7162,5,2025-10-13,20,10,21.69,19.79
7162,5,2025-10-13,20,11,21.69,18.45
7162,5,2025-10-13,20,12,21.69,16.87
7162,5,2025-10-13,20,13,21.69,17.72
7162,5,2025-10-13,20,14,21.69,20.23
7162,5,2025-10-13,31,15,38.31,36.72
7162,5,2025-10-13,31,16,40.00,39.90
7162,5,2025-10-13,31,17,40.00,39.95
7162,5,2025-10-13,31,18,40.00,27.60
7162,5,2025-10-13,61,19,39.35,20.82
7162,5,2025-10-13,47,20,30.00,20.64
7162,5,2025-10-13,47,21,17.40,15.57
7162,5,2025-10-13,71,22,12.99,12.80
7162,5,2025-10-13,71,23,12.99,12.69
7162,6,2025-10-13,47,0,0.55,89.14
7162,6,2025-10-13,47,1,0.55,90.51
7162,6,2025-10-13,47,2,0.55,89.92
7162,6,2025-10-13,47,3,0.55,89.75
7162,6,2025-10-13,47,4,0.55,89.18
7162,6,2025-10-13,47,5,0.55,89.37
7162,6,2025-10-13,47,6,0.55,88.11
7162,6,2025-10-13,10,7,66.18,90.70
7162,6,2025-10-13,10,8,66.18,85.37
7162,6,2025-10-13,10,9,66.18,93.01
7162,6,2025-10-13,20,10,66.18,90.29
7162,6,2025-10-13,20,11,66.18,86.70
7162,6,2025-10-13,20,12,66.18,83.25
7162,6,2025-10-13,20,13,66.18,76.38
7162,6,2025-10-13,20,14,66.18,72.08
7162,6,2025-10-13,31,15,65.27,71.38
7162,6,2025-10-13,31,16,65.27,70.89
7162,6,2025-10-13,31,17,65.27,78.91
7162,6,2025-10-13,31,18,65.27,75.23
7162,6,2025-10-13,61,19,50.18,65.01
7162,6,2025-10-13,47,20,56.55,62.95
7162,6,2025-10-13,47,21,53.09,58.51
7162,6,2025-10-13,71,22,92.91,90.07
7162,6,2025-10-13,71,23,92.91,93.45
7162,8,2025-10-13,47,0,22.73,19.19
7162,8,2025-10-13,47,1,22.73,20.23
7162,8,2025-10-13,47,2,22.73,18.84
7162,8,2025-10-13,47,3,22.73,18.27
7162,8,2025-10-13,47,4,22.73,18.52
7162,8,2025-10-13,47,5,22.73,17.99
7162,8,2025-10-13,47,6,22.73,19.43
7162,8,2025-10-13,10,7,40.00,29.04
7162,8,2025-10-13,10,8,40.00,32.22
7162,8,2025-10-13,10,9,40.00,31.11
7162,8,2025-10-13,20,10,39.61,28.15
7162,8,2025-10-13,20,11,40.00,34.04
7162,8,2025-10-13,20,12,39.80,33.59
7162,8,2025-10-13,20,13,40.00,38.06
7162,8,2025-10-13,20,14,40.00,39.73
7162,8,2025-10-13,31,15,0.39,40.41
7162,8,2025-10-13,31,16,40.00,39.97
7162,8,2025-10-13,31,17,40.00,39.91
7162,8,2025-10-13,31,18,40.00,34.67
7162,8,2025-10-13,61,19,38.31,31.65
7162,8,2025-10-13,47,20,38.31,39.59
7162,8,2025-10-13,47,21,38.31,39.59
7162,8,2025-10-13,71,22,38.31,18.49
7162,8,2025-10-13,71,23,14.55,18.72
7162,11,2025-10-13,47,0,52.26,58.26
7162,11,2025-10-13,47,1,52.26,58.26
7162,11,2025-10-13,47,2,52.26,58.26
7162,11,2025-10-13,47,3,52.26,58.26
7162,11,2025-10-13,47,4,52.26,58.26
7162,11,2025-10-13,47,5,52.26,58.26
7162,11,2025-10-13,47,6,52.26,58.26
7162,11,2025-10-13,10,7,52.26,58.26
7162,11,2025-10-13,10,8,52.26,58.26
7162,11,2025-10-13,10,9,52.26,58.26
7162,11,2025-10-13,20,10,52.26,58.26
7162,11,2025-10-13,20,11,52.26,58.26
7162,11,2025-10-13,20,12,52.26,58.26
7162,11,2025-10-13,20,13,52.26,58.26
7162,11,2025-10-13,20,14,52.26,58.26
7162,11,2025-10-13,31,15,52.26,58.26
7162,11,2025-10-13,31,16,52.26,58.26
7162,11,2025-10-13,31,17,52.26,58.26
7162,11,2025-10-13,31,18,52.26,52.19
7162,11,2025-10-13,61,19,53.09,47.97
7162,11,2025-10-13,47,20,52.26,53.06
7162,11,2025-10-13,47,21,52.26,53.06
7162,11,2025-10-13,71,22,52.26,53.06
7162,11,2025-10-13,71,23,52.26,53.06
