Signal ID,Phase #,Date,Plan,Start Hour,End Hour,Programmed Split (sec),Average Split (sec)
7,1,2025-10-13,17,0,2,12.23,14.41
7,1,2025-10-13,17,3,3,12.16,13.30
7,1,2025-10-13,17,4,4,12.23,12.76
7,1,2025-10-13,11,5,6,13.87,13.21
7,1,2025-10-13,10,7,8,16.75,16.52
7,1,2025-10-13,11,9,10,13.87,14.06
7,1,2025-10-13,20,11,12,14.81,14.11
7,1,2025-10-13,20,13,13,14.26,13.34
7,1,2025-10-13,30,14,14,14.81,14.71
7,1,2025-10-13,32,15,15,19.95,19.24
7,1,2025-10-13,32,16,16,19.79,19.99
7,1,2025-10-13,61,17,19,24.00,21.92
7,1,2025-10-13,72,20,21,14.26,14.47
7,1,2025-10-13,71,22,23,13.64,14.79
7,2,2025-10-13,17,0,0,57.97,49.93
7,2,2025-10-13,17,1,1,58.55,46.93
7,2,2025-10-13,17,2,2,57.97,43.92
7,2,2025-10-13,17,3,3,27.58,40.88
7,2,2025-10-13,17,4,4,57.97,38.42
7,2,2025-10-13,11,5,6,76.21,53.80
7,2,2025-10-13,10,7,8,91.64,82.24
7,2,2025-10-13,11,9,10,76.21,59.62
7,2,2025-10-13,20,11,13,74.57,61.74
7,2,2025-10-13,30,14,14,93.51,87.87
7,2,2025-10-13,32,15,15,128.81,128.96
7,2,2025-10-13,32,16,16,147.27,139.05
7,2,2025-10-13,61,17,17,127.17,114.39
7,2,2025-10-13,61,18,18,144.00,114.83
7,2,2025-10-13,61,19,19,124.83,108.18
7,2,2025-10-13,72,20,20,113.61,98.38
7,2,2025-10-13,72,21,21,117.58,104.84
7,2,2025-10-13,71,22,22,132.55,118.56
7,2,2025-10-13,71,23,23,104.73,100.87
7,4,2025-10-13,17,0,4,33.04,36.01
7,4,2025-10-13,11,5,6,36.00,31.61
7,4,2025-10-13,10,7,8,42.23,27.38
7,4,2025-10-13,11,9,10,36.00,26.05
7,4,2025-10-13,20,11,12,36.00,27.53
7,4,2025-10-13,20,13,13,37.25,24.50
7,4,2025-10-13,30,14,14,44.73,28.23
7,4,2025-10-13,32,15,16,59.69,28.82
7,4,2025-10-13,61,17,17,36.00,29.86
7,4,2025-10-13,61,18,18,35.84,32.15
7,4,2025-10-13,61,19,19,36.00,26.77
7,4,2025-10-13,72,20,21,39.74,27.21
7,4,2025-10-13,71,22,22,79.02,34.51
7,4,2025-10-13,71,23,23,79.64,39.40
7,6,2025-10-13,17,0,4,43.38,44.68
7,6,2025-10-13,11,5,6,59.22,70.44
7,6,2025-10-13,10,7,8,72.47,141.09
7,6,2025-10-13,11,9,10,59.22,61.45
7,6,2025-10-13,20,11,12,59.22,68.49
7,6,2025-10-13,20,13,13,58.44,60.66
7,6,2025-10-13,30,14,14,69.61,80.45
7,6,2025-10-13,32,15,16,111.17,129.76
7,6,2025-10-13,61,17,19,132.73,130.56
7,6,2025-10-13,72,20,21,129.87,114.53
7,6,2025-10-13,71,22,23,92.47,110.66
